K02869|RP-L12,_rpl12;_large_subunit_ribosomal_protein_L12
K26606|azlD,_brnE;_branched_chain_amino_acid_efflux_pump
K02533|lasT;_tRNA/rRNA_methyltransferase_[EC:2.1.1.-]
K01975|thpR;_RNA_2',3'-cyclic_3'-phosphodiesterase_[EC:3.1.4.58]
K00952|nadM;_nicotinamide-nucleotide_adenylyltransferase_[EC:2.7.7.1]
K09815|znuA;_zinc_transport_system_substrate-binding_protein
K02863|RP-L1,_MRPL1,_rplA;_large_subunit_ribosomal_protein_L1
K00754|bshA;_L-malate_glycosyltransferase_[EC:2.4.1.-]
K03042|rpoA2;_DNA-directed_RNA_polymerase_subunit_A"_[EC:2.7.7.6]
K07254|atrm56;_tRNA_(cytidine56-2'-O)-methyltransferase_[EC:2.1.1.206]
K24410|tfuA;_TfuA_protein
K03660|OGG1;_N-glycosylase/DNA_lyase_[EC:3.2.2.-_4.2.99.18]
K11928|putP;_sodium/proline_symporter
K01061|E3.1.1.45;_carboxymethylenebutenolidase_[EC:3.1.1.45]
K07386|pepO;_putative_endopeptidase_[EC:3.4.24.-]
K03622|ssh10b;_archaea-specific_DNA-binding_protein
K03304|tehA;_tellurite_resistance_protein
K03609|minD;_septum_site-determining_protein_MinD
K07745|K07745;_transcriptional_regulator
K02915|RP-L34e,_RPL34;_large_subunit_ribosomal_protein_L34e
K15566|trm10;_tRNA_(adenine9-N1/guanine9-N1)-methyltransferase_[EC:2.1.1.218_2.1.1.221]
K01741|E4.2.99.18;_DNA-(apurinic_or_apyrimidinic_site)_lyase_[EC:4.2.99.18]
K06974|amzA,_AMZ2,_AMZ1;_archaemetzincin_[EC:3.4.-.-]
K01174|nuc;_micrococcal_nuclease_[EC:3.1.31.1]
K02992|RP-S7,_MRPS7,_rpsG;_small_subunit_ribosomal_protein_S7
K15450|TYW3;_tRNA_wybutosine-synthesizing_protein_3_[EC:2.1.1.282]
K01299|E3.4.17.19;_carboxypeptidase_Taq_[EC:3.4.17.19]
K02875|RP-L14e,_RPL14;_large_subunit_ribosomal_protein_L14e
K02917|RP-L35Ae,_RPL35A;_large_subunit_ribosomal_protein_L35Ae
K22446|K22446;_tRNA_(cytosine49-C5)-methyltransferase_[EC:2.1.1.-]
K16052|ynaI,_mscMJ;_MscS_family_membrane_protein
K16318|trm14;_tRNA_(guanine6-N2)-methyltransferase_[EC:2.1.1.256]
K00612|nodU;_carbamoyltransferase_[EC:2.1.3.-]
K02881|RP-L18,_MRPL18,_rplR;_large_subunit_ribosomal_protein_L18
K07565|NIP7;_60S_ribosome_subunit_biogenesis_protein_NIP7
K01255|CARP,_pepA;_leucyl_aminopeptidase_[EC:3.4.11.1]
K18845|rmt,_armA;_16S_rRNA_(guanine(1405)-N(7))-methyltransferase_[EC:2.1.1.179]
K03170|topG,_rgy;_reverse_gyrase_[EC:5.6.2.2_5.6.2.-]
K03215|rumA;_23S_rRNA_(uracil1939-C5)-methyltransferase_[EC:2.1.1.190]
K05337|fer;_ferredoxin
K02965|RP-S19,_rpsS;_small_subunit_ribosomal_protein_S19
K01494|dcd;_dCTP_deaminase_[EC:3.5.4.13]
K01126|E3.1.4.46,_glpQ,_ugpQ;_glycerophosphoryl_diester_phosphodiesterase_[EC:3.1.4.46]
K04034|bchE;_anaerobic_magnesium-protoporphyrin_IX_monomethyl_ester_cyclase_[EC:1.21.98.3]
K13010|per,_rfbE;_perosamine_synthetase_[EC:2.6.1.102]
K05794|terC;_tellurite_resistance_protein_TerC
K09165|K09165;_dodecin
K03602|xseB;_exodeoxyribonuclease_VII_small_subunit_[EC:3.1.11.6]
K09127|cmr3;_CRISPR-associated_protein_Cmr3
K06857|tupC,_vupC;_tungstate_transport_system_ATP-binding_protein_[EC:7.3.2.6]
K19114|csh1;_CRISPR-associated_protein_Csh1
K01791|wecB;_UDP-N-acetylglucosamine_2-epimerase_(non-hydrolysing)_[EC:5.1.3.14]
K13019|wbpI,_wlbD;_UDP-GlcNAc3NAcA_epimerase_[EC:5.1.3.23]
K03885|ndh;_NADH:quinone_reductase_(non-electrogenic)_[EC:1.6.5.9]
K01011|TST,_MPST,_sseA;_thiosulfate/3-mercaptopyruvate_sulfurtransferase_[EC:2.8.1.1_2.8.1.2]
K18122|cat2,_abfT;_4-hydroxybutyrate_CoA-transferase_[EC:2.8.3.-]
K06153|bacA;_undecaprenyl-diphosphatase_[EC:3.6.1.27]
K01531|mgtA,_mgtB;_P-type_Mg2+_transporter_[EC:7.2.2.14]
K02904|RP-L29,_rpmC;_large_subunit_ribosomal_protein_L29
K03653|K03653;_N-glycosylase/DNA_lyase_[EC:3.2.2.-_4.2.99.18]
K19710|E2.7.7.53;_ATP_adenylyltransferase_[EC:2.7.7.53]
K13953|adhP;_alcohol_dehydrogenase,_propanol-preferring_[EC:1.1.1.1]
K19141|cmr5;_CRISPR-associated_protein_Cmr5
K13057|treT;_trehalose_synthase_[EC:2.4.1.245]
K23262|gvpA;_gas_vesicle_structural_protein
K01470|E3.5.2.10;_creatinine_amidohydrolase_[EC:3.5.2.10]
K09714|tfx;_HTH-type_transcriptional_regulator,_fmd_operon_transcriptional_regulator
K00882|fruK;_1-phosphofructokinase_[EC:2.7.1.56]
K00783|rlmH;_23S_rRNA_(pseudouridine1915-N3)-methyltransferase_[EC:2.1.1.177]
K03601|xseA;_exodeoxyribonuclease_VII_large_subunit_[EC:3.1.11.6]
K23541|TMEM165,_GDT1;_Ca2+/H+_antiporter,_TMEM165/GDT1_family
K00196|cooF;_anaerobic_carbon-monoxide_dehydrogenase_iron_sulfur_subunit
K06442|tlyA;_23S_rRNA_(cytidine1920-2'-O)/16S_rRNA_(cytidine1409-2'-O)-methyltransferase_[EC:2.1.1.226_2.1.1.227]
K01512|acyP;_acylphosphatase_[EC:3.6.1.7]
K11749|rseP;_regulator_of_sigma_E_protease_[EC:3.4.24.-]
K06862|ehbQ;_energy-converting_hydrogenase_B_subunit_Q
K00123|fdoG,_fdhF,_fdwA;_formate_dehydrogenase_major_subunit_[EC:1.17.1.9]
K05773|tupB,_vupB;_tungstate_transport_system_permease_protein
K01409|OSGEP,_KAE1,_QRI7;_N6-L-threonylcarbamoyladenine_synthase_[EC:2.3.1.234]
K07341|doc;_death_on_curing_protein
K15986|ppaC;_manganese-dependent_inorganic_pyrophosphatase_[EC:3.6.1.1]
K00773|tgt;_queuine_tRNA-ribosyltransferase_[EC:2.4.2.29]
K19115|csh2;_CRISPR-associated_protein_Csh2
K10804|tesA;_acyl-CoA_thioesterase_I_[EC:3.1.2.-_3.1.2.2_3.1.1.2_3.1.1.5]
K04768|acuC;_acetoin_utilization_protein_AcuC
K05299|fdhA;_formate_dehydrogenase_(NADP+)_alpha_subunit_[EC:1.17.1.10]
K16951|asrB;_anaerobic_sulfite_reductase_subunit_B
K19142|cmr6;_CRISPR-associated_protein_Cmr6
K05982|E3.1.21.7,_nfi;_deoxyribonuclease_V_[EC:3.1.21.7]
K16698|tuaG;_teichuronic_acid_biosynthesis_glycosyltransferase_TuaG_[EC:2.4.-.-]
K20976|hptB;_histidine_phosphotransfer_protein_HptB
K10536|aguA;_agmatine_deiminase_[EC:3.5.3.12]
K12251|aguB;_N-carbamoylputrescine_amidase_[EC:3.5.1.53]
K12990|rfbF,_rhlC;_rhamnosyltransferase_[EC:2.4.1.-]
K16710|wcaK,_amsJ;_colanic_acid/amylovoran_biosynthesis_protein_WcaK/AmsJ
K10761|THG1;_tRNA(His)_guanylyltransferase_[EC:2.7.7.79]
K19120|csc1;_CRISPR-associated_protein_Csc1
K03152|thiJ;_protein_deglycase_[EC:3.5.1.124]
K07725|csa3;_CRISPR-associated_protein_Csa3
K01489|cdd,_CDA;_cytidine_deaminase_[EC:3.5.4.5]
K12234|cofE;_coenzyme_F420-0:L-glutamate_ligase_/_coenzyme_F420-1:gamma-L-glutamate_ligase_[EC:6.3.2.31_6.3.2.34]
K15856|rmd;_GDP-4-dehydro-6-deoxy-D-mannose_reductase_[EC:1.1.1.281]
K04767|acuB;_acetoin_utilization_protein_AcuB
K19076|cmr2,_cas10;_CRISPR-associated_protein_Cmr2
K19121|csc2;_CRISPR-associated_protein_Csc2
K17734|aprX;_serine_protease_AprX_[EC:3.4.21.-]
K09142|SPOUT1;_methyltransferase_[EC:2.1.1.-]
K11600|RRP41,_EXOSC4,_SKI6;_exosome_complex_component_RRP41
K07061|cmr1;_CRISPR-associated_protein_Cmr1
K15383|K15383;_MtN3_and_saliva_related_transmembrane_protein
K17837|bla2,_blm,_ccrA,_blaB;_metallo-beta-lactamase_class_B_[EC:3.5.2.6]
K07115|rlmJ;_23S_rRNA_(adenine2030-N6)-methyltransferase_[EC:2.1.1.266]
K19145|csx16;_CRISPR-associated_protein_Csx16
K19116|cas5h;_CRISPR-associated_protein_Cas5h
K04748|norQ;_nitric_oxide_reductase_NorQ_protein
K11687|ADPRHL2;_poly(ADP-ribose)_glycohydrolase_ARH3_[EC:3.2.1.143]
K00697|otsA;_trehalose_6-phosphate_synthase_[EC:2.4.1.15_2.4.1.347]
K16055|TPS;_trehalose_6-phosphate_synthase/phosphatase_[EC:2.4.1.15_3.1.3.12]
K03047|rpoD;_DNA-directed_RNA_polymerase_subunit_D_[EC:2.7.7.6]
K09000|cmr4;_CRISPR-associated_protein_Cmr4
K19168|cptA;_toxin_CptA
K05772|tupA,_vupA;_tungstate_transport_system_substrate-binding_protein
K14568|EMG1,_NEP1;_rRNA_small_subunit_pseudouridine_methyltransferase_Nep1_[EC:2.1.1.260]
K13018|wbpD,_wlbB;_UDP-2-acetamido-3-amino-2,3-dideoxy-glucuronate_N-acetyltransferase_[EC:2.3.1.201]
K20276|bapA;_large_repetitive_protein
K08177|oxlT;_MFS_transporter,_OFA_family,_oxalate/formate_antiporter
K03753|mobB;_molybdopterin-guanine_dinucleotide_biosynthesis_adapter_protein
K19144|csx3;_CRISPR-associated_protein_Csx3
K02895|RP-L24,_MRPL24,_rplX;_large_subunit_ribosomal_protein_L24
K24011|soxM;_cytochrome_aa3-type_oxidase_subunit_I/III_[EC:7.1.1.4]
K08355|aoxA;_arsenite_oxidase_small_subunit_[EC:1.20.2.1_1.20.9.1]
K06915|herA;_DNA_double-strand_break_repair_helicase_HerA_and_related_ATPase
K07217|ydbD;_manganese_catalase_[EC:1.11.1.6]
K06957|tmcA;_tRNA(Met)_cytidine_acetyltransferase_[EC:2.3.1.193]
K08358|ttrB;_tetrathionate_reductase_subunit_B
K03855|fixX;_ferredoxin_like_protein
K08096|gch3;_GTP_cyclohydrolase_IIa_[EC:3.5.4.29]
K07152|SCO1;_protein_SCO1
K17218|sqr;_sulfide:quinone_oxidoreductase_[EC:1.8.5.4]
K03519|coxM,_cutM;_aerobic_carbon-monoxide_dehydrogenase_medium_subunit_[EC:1.2.5.3]
K02011|afuB,_fbpB;_iron(III)_transport_system_permease_protein
K03060|rpoZ;_DNA-directed_RNA_polymerase_subunit_omega_[EC:2.7.7.6]
K01997|livH;_branched-chain_amino_acid_transport_system_permease_protein
K07503|nucS;_endonuclease_[EC:3.1.-.-]
K06963|TAN1,_THUMPD1;_tRNA_acetyltransferase_TAN1
K19342|nosL;_copper_chaperone_NosL
K01473|hyuA;_N-methylhydantoinase_A_[EC:3.5.2.14]
K01518|NUDT2;_bis(5'-nucleosidyl)-tetraphosphatase_[EC:3.6.1.17]
K23779|sutR;_XRE_family_transcriptional_regulator,_regulator_of_sulfur_utilization
K07141|mocA;_molybdenum_cofactor_cytidylyltransferase_[EC:2.7.7.76]
K02923|RP-L38e,_RPL38;_large_subunit_ribosomal_protein_L38e
K01529|yjjX;_inosine/xanthosine_triphosphatase_[EC:3.6.1.73]
K07442|TRM61,_GCD14;_tRNA_(adenine57-N1/adenine58-N1)-methyltransferase_catalytic_subunit_[EC:2.1.1.219_2.1.1.220]
K03417|prpB;_methylisocitrate_lyase_[EC:4.1.3.30]
K00124|fdoH,_fdsB;_formate_dehydrogenase_iron-sulfur_subunit
K01999|livK;_branched-chain_amino_acid_transport_system_substrate-binding_protein
K14731|mlhB,_chnC;_epsilon-lactone_hydrolase_[EC:3.1.1.83]
K10947|K10947;_PadR_family_transcriptional_regulator
K06994|K06994;_putative_drug_exporter_of_the_RND_superfamily
K01724|PCBD,_phhB;_4a-hydroxytetrahydrobiopterin_dehydratase_[EC:4.2.1.96]
K07335|bmpA,_bmpB,_tmpC;_basic_membrane_protein_A_and_related_proteins
K15770|cycB,_ganO,_mdxE;_arabinogalactan_oligomer_/_maltooligosaccharide_transport_system_substrate-binding_protein
K00020|HIBADH,_mmsB;_3-hydroxyisobutyrate_dehydrogenase_[EC:1.1.1.31]
K07445|K07445;_putative_DNA_methylase
K02510|hpaI,_hpcH;_4-hydroxy-2-oxoheptanedioate_aldolase_[EC:4.1.2.52]
K01996|livF;_branched-chain_amino_acid_transport_system_ATP-binding_protein
K08979|K08979;_putative_membrane_protein
K08369|ydjE;_MFS_transporter,_putative_metabolite:H+_symporter
K03521|fixA,_etfB;_electron_transfer_flavoprotein_beta_subunit
K03552|hjr,_hjc,_hje;_holliday_junction_resolvase_[EC:3.1.21.10]
K03522|fixB,_etfA;_electron_transfer_flavoprotein_alpha_subunit
K09796|pccA;_periplasmic_copper_chaperone_A
K01893|NARS,_asnS;_asparaginyl-tRNA_synthetase_[EC:6.1.1.22]
K06200|cstA;_carbon_starvation_protein
K08356|aoxB;_arsenite_oxidase_large_subunit_[EC:1.20.2.1_1.20.9.1]
K02975|RP-S25e,_RPS25;_small_subunit_ribosomal_protein_S25e
K17851|dpd;_D-proline_dehydrogenase_[EC:1.5.99.13]
K10878|SPO11;_meiotic_recombination_protein_SPO11
K01934|MTHFS;_5-formyltetrahydrofolate_cyclo-ligase_[EC:6.3.3.2]
K19085|csa1;_CRISPR-associated_protein_Csa1
K10198|glcU,_araU;_glucose/arabinose_transport_system_permease_protein
K23535|nupB;_general_nucleoside_transport_system_permease_protein
K02010|afuC,_fbpC;_iron(III)_transport_system_ATP-binding_protein_[EC:7.2.2.7]
K00852|rbsK,_RBKS;_ribokinase_[EC:2.7.1.15]
K26208|E2.7.1.239;_alpha-D-ribose-1-phosphate_5-kinase_(ATP)_[EC:2.7.1.239]
K01551|arsA,_ASNA1,_GET3;_arsenite/tail-anchored_protein-transporting_ATPase_[EC:7.3.2.7_7.3.-.-]
K06206|sfsA;_sugar_fermentation_stimulation_protein_A
K00782|lldG;_L-lactate_dehydrogenase_complex_protein_LldG
K01619|deoC,_DERA;_deoxyribose-phosphate_aldolase_[EC:4.1.2.4]
K03719|lrp;_Lrp/AsnC_family_transcriptional_regulator,_leucine-responsive_regulatory_protein
K09022|ridA,_tdcF,_RIDA;_2-iminobutanoate/2-iminopropanoate_deaminase_[EC:3.5.99.10]
K02028|ABC.PA.A;_polar_amino_acid_transport_system_ATP-binding_protein_[EC:7.4.2.1]
K07472|TIP49;_TBP-interacting_protein
K05825|LYSN;_2-aminoadipate_transaminase_[EC:2.6.1.-]
K08352|phsA,_psrA;_thiosulfate_reductase_/_polysulfide_reductase_chain_A_[EC:1.8.5.5]
K01273|DPEP;_membrane_dipeptidase_[EC:3.4.13.19]
K22469|fau-1,_aubA;_probable_ribonuclease_FAU-1_[EC:3.1.26.-]
K02380|fdhE;_FdhE_protein
K19156|prlF,_sohA;_antitoxin_PrlF
K02873|RP-L13e,_RPL13;_large_subunit_ribosomal_protein_L13e
K19074|csa2;_CRISPR-associated_protein_Csa2
K18641|K18641;_crenactin
K18367|CoADR;_CoA-dependent_NAD(P)H_sulfur_oxidoreductase_[EC:1.8.1.18]
K08296|sixA;_phosphohistidine_phosphatase_[EC:3.1.3.-]
K01995|livG;_branched-chain_amino_acid_transport_system_ATP-binding_protein
K09014|sufB;_Fe-S_cluster_assembly_protein_SufB
K23536|nupC;_general_nucleoside_transport_system_permease_protein
K03497|parB,_spo0J;_ParB_family_transcriptional_regulator,_chromosome_partitioning_protein
K22206|thiR;_XRE_family_transcriptional_regulator,_thiamine_biosynthesis_regulator
K13051|ASRGL1,_iaaA;_L-asparaginase_/_beta-aspartyl-peptidase_[EC:3.5.1.1_3.4.19.5]
K00761|upp,_UPRT;_uracil_phosphoribosyltransferase_[EC:2.4.2.9]
K19143|csx1;_CRISPR-associated_protein_Csx1
K01515|nudF;_ADP-ribose_diphosphatase_[EC:3.6.1.13_3.6.1.-]
K01434|pac;_penicillin_G_amidase_[EC:3.5.1.11]
K24129|K24129;_glutaredoxin-dependent_peroxiredoxin_[EC:1.11.1.25]
K23537|nupA;_general_nucleoside_transport_system_ATP-binding_protein
K22452|tgpA;_protein-glutamine_gamma-glutamyltransferase_[EC:2.3.2.13]
K10197|glcT,_araT;_glucose/arabinose_transport_system_permease_protein
K01905|acdA;_acetate---CoA_ligase_(ADP-forming)_subunit_alpha_[EC:6.2.1.13]
K13798|rpoB;_DNA-directed_RNA_polymerase_subunit_B_[EC:2.7.7.6]
K00926|arcC;_carbamate_kinase_[EC:2.7.2.2]
K01087|otsB;_trehalose_6-phosphate_phosphatase_[EC:3.1.3.12]
K23077|dsrC;_dissimilatory_sulfite_reductase_related_protein
K10843|ERCC3,_XPB;_DNA_excision_repair_protein_ERCC-3_[EC:5.6.2.4]
K00520|merA;_mercuric_reductase_[EC:1.16.1.1]
K01303|APEH;_acylaminoacyl-peptidase_[EC:3.4.19.1]
K18702|uctC;_CoA:oxalate_CoA-transferase_[EC:2.8.3.19]
K02064|thiB,_tbpA;_thiamine_transport_system_substrate-binding_protein
K10196|glcS,_araS;_glucose/arabinose_transport_system_substrate-binding_protein
K24104|GPN;_GPN-loop_GTPase
K03594|bfr;_bacterioferritin_[EC:1.16.3.1]
K12410|cobB,_srtN,_npdA;_NAD-dependent_protein_deacetylase/lipoamidase_[EC:2.3.1.286_2.3.1.313]
K02976|RP-S26e,_RPS26;_small_subunit_ribosomal_protein_S26e
K07743|K07743;_transcriptional_regulator
K01715|crt;_enoyl-CoA_hydratase_[EC:4.2.1.17]
K15016|K15016;_enoyl-CoA_hydratase_/_3-hydroxyacyl-CoA_dehydrogenase_[EC:4.2.1.17_1.1.1.35]
K15866|paaG;_2-(1,2-epoxy-1,2-dihydrophenyl)acetyl-CoA_isomerase_[EC:5.3.3.18]
K11473|glcF;_glycolate_dehydrogenase_iron-sulfur_subunit_[EC:1.1.99.14]
K07402|xdhC;_xanthine_dehydrogenase_accessory_factor
K08980|K08980;_putative_membrane_protein
K01720|prpD;_2-methylcitrate_dehydratase_[EC:4.2.1.79]
K07176|K07176;_putative_serine/threonine_protein_kinase
K08281|pncA;_nicotinamidase/pyrazinamidase_[EC:3.5.1.19_3.5.1.-]
K00313|fixC;_electron_transfer_flavoprotein-quinone_oxidoreductase_[EC:1.5.5.-]
K03520|coxL,_cutL;_aerobic_carbon-monoxide_dehydrogenase_large_subunit_[EC:1.2.5.3]
K03707|tenA;_thiaminase_(transcriptional_activator_TenA)_[EC:3.5.99.2]
K17818|ARD1;_D-arabinitol_dehydrogenase_(NADP+)_[EC:1.1.1.287]
K00702|E2.4.1.20;_cellobiose_phosphorylase_[EC:2.4.1.20]
K07240|chrA;_chromate_transporter
K05349|bglX;_beta-glucosidase_[EC:3.2.1.21]
K19164|ccdA;_antitoxin_CcdA
K21971|NSUN6;_methyltransferase_NSUN6_[EC:2.1.1.-]
K06154|lysM;_Lrp/AsnC_family_transcriptional_regulator,_involved_in_the_regulation_of_lysine_biosynthesis
K23370|serK;_L-serine_kinase_(ADP)_[EC:2.7.1.226]
K21619|uxaE;_tagaturonate_epimerase_[EC:5.1.2.7]
K00564|rsmC;_16S_rRNA_(guanine1207-N2)-methyltransferase_[EC:2.1.1.172]
K01224|E3.2.1.89;_arabinogalactan_endo-1,4-beta-galactosidase_[EC:3.2.1.89]
K17487|mptB;_7,8-dihydroneopterin_2',3'-cyclic_phosphate_phosphodiesterase_[EC:3.1.4.56]
K03052|rpoG;_DNA-directed_RNA_polymerase_subunit_G_[EC:2.7.7.6]
K00325|pntB;_proton-translocating_NAD(P)+_transhydrogenase_subunit_beta_[EC:7.1.1.1]
K01805|xylA;_xylose_isomerase_[EC:5.3.1.5]
K01443|nagA,_AMDHD2;_N-acetylglucosamine-6-phosphate_deacetylase_[EC:3.5.1.25]
K01209|abfA;_alpha-L-arabinofuranosidase_[EC:3.2.1.55]
K01628|fucA;_L-fuculose-phosphate_aldolase_[EC:4.1.2.17]
K19689|ampS,_pepS,_ampT;_aminopeptidase_[EC:3.4.11.-]
K10112|msmX,_msmK,_malK,_sugC,_ggtA,_msiK;_multiple_sugar_transport_system_ATP-binding_protein_[EC:7.5.2.-]
K00015|gyaR,_GOR1;_glyoxylate_reductase_[EC:1.1.1.26]
K00058|serA,_PHGDH;_D-3-phosphoglycerate_dehydrogenase_/_2-oxoglutarate_reductase_[EC:1.1.1.95_1.1.1.399]
K01190|lacZ;_beta-galactosidase_[EC:3.2.1.23]
K01195|uidA,_GUSB;_beta-glucuronidase_[EC:3.2.1.31]
K03500|rsmB,_sun;_16S_rRNA_(cytosine967-C5)-methyltransferase_[EC:2.1.1.176]
K07746|parD1_3_4;_antitoxin_ParD1/3/4
K06985|K06985;_aspartyl_protease_family_protein
K00960|rpo13;_DNA-directed_RNA_polymerase_subunit_13_[EC:2.7.7.6]
K11717|sufS;_cysteine_desulfurase_/_selenocysteine_lyase_[EC:2.8.1.7_4.4.1.16]
K00848|rhaB;_rhamnulokinase_[EC:2.7.1.5]
K01206|FUCA;_alpha-L-fucosidase_[EC:3.2.1.51]
K22901|trm4;_tRNA_(cytosine40_48-C5)-methyltransferase_[EC:2.1.1.-]
K23675|fmnP,_ribU;_riboflavin_transporter
K06213|mgtE;_magnesium_transporter
K00324|pntA;_proton-translocating_NAD(P)+_transhydrogenase_subunit_alpha_[EC:7.1.1.1]
K09516|RETSAT;_all-trans-retinol_13,14-reductase_[EC:1.3.99.23]
K14118|ehbI;_energy-converting_hydrogenase_B_subunit_I
K25505|cedA1;_DNA_import_protein_CedA1
K00005|gldA;_glycerol_dehydrogenase_[EC:1.1.1.6]
K23992|K23992;_1L-myo-inositol_1-phosphate_cytidylyltransferase_/_CDP-L-myo-inositol_myo-inositolphosphotransferase_[EC:2.7.7.74_2.7.8.34]
K07407|E3.2.1.22B,_galA,_rafA;_alpha-galactosidase_[EC:3.2.1.22]
K25510|nurA;_DNA_double-strand_break_repair_nuclease_NurA_[EC:3.1.-.-]
K01811|xylS,_yicI;_alpha-D-xyloside_xylohydrolase_[EC:3.2.1.177]
K25034|btuF;_cobalamin_transport_system_substrate-binding_protein
K08851|TP53RK,_PRPK,_BUD32;_TP53_regulating_kinase_and_related_kinases_[EC:2.7.11.1]
K03188|ureF;_urease_accessory_protein
K21430|yliI;_aldose_sugar_dehydrogenase_[EC:1.1.5.-]
K01430|ureA;_urease_subunit_gamma_[EC:3.5.1.5]
K06223|dam;_DNA_adenine_methylase_[EC:2.1.1.72]
K03190|ureD,_ureH;_urease_accessory_protein
K00759|APRT,_apt;_adenine_phosphoribosyltransferase_[EC:2.4.2.7]
K15977|K15977;_putative_oxidoreductase
K07465|K07465;_putative_RecB_family_exonuclease
K16899|addB;_ATP-dependent_helicase/nuclease_subunit_B_[EC:5.6.2.4_3.1.-.-]
K03189|ureG;_urease_accessory_protein
K14260|alaA;_alanine-synthesizing_transaminase_[EC:2.6.1.66_2.6.1.2]
K18593|E6.2.1.56;_4-hydroxybutyrate---CoA_ligase_(ADP-forming)_[EC:6.2.1.56]
K24012|acdAB;_acetate---CoA_ligase_(ADP-forming)_[EC:6.2.1.13]
K20989|DUR3;_urea-proton_symporter
K18604|K18604;_acetyl-CoA/propionyl-CoA_carboxylase_[EC:6.4.1.2_6.4.1.3_2.1.3.15]
K20074|prpC,_phpP;_PPM_family_protein_phosphatase_[EC:3.1.3.16]
K18911|egtD;_L-histidine_Nalpha-methyltransferase_[EC:2.1.1.44]
K18603|K18603;_acetyl-CoA/propionyl-CoA_carboxylase_[EC:6.4.1.2_6.4.1.3]
K01428|ureC;_urease_subunit_alpha_[EC:3.5.1.5]
K03014|RPABC2,_RPB6,_POLR2F;_DNA-directed_RNA_polymerases_I,_II,_and_III_subunit_RPABC2
K00571|E2.1.1.72;_site-specific_DNA-methyltransferase_(adenine-specific)_[EC:2.1.1.72]
K18602|K18602;_malonic_semialdehyde_reductase_[EC:1.1.1.-]
K03652|MPG;_DNA-3-methyladenine_glycosylase_[EC:3.2.2.21]
K03187|ureE;_urease_accessory_protein
K14728|K14728;_phthiodiolone/phenolphthiodiolone_dimycocerosates_ketoreductase_[EC:1.2.-.-]
K06137|pqqC;_pyrroloquinoline-quinone_synthase_[EC:1.3.3.11]
K01156|res;_type_III_restriction_enzyme_[EC:3.1.21.5]
K07316|mod;_adenine-specific_DNA-methyltransferase_[EC:2.1.1.72]
K01429|ureB;_urease_subunit_beta_[EC:3.5.1.5]
K18605|K18605;_biotin_carboxyl_carrier_protein
K13628|iscA;_iron-sulfur_cluster_assembly_protein
K15724|erpA;_iron-sulfur_cluster_insertion_protein
K22881|phaE;_poly[(R)-3-hydroxyalkanoate]_polymerase_subunit_PhaE
K03821|phaC,_phbC;_poly[(R)-3-hydroxyalkanoate]_polymerase_subunit_PhaC_[EC:2.3.1.304]
K01247|alkA;_DNA-3-methyladenine_glycosylase_II_[EC:3.2.2.21]
K01644|citE;_citrate_lyase_subunit_beta_/_citryl-CoA_lyase_[EC:4.1.3.34]
K07156|copC,_pcoC;_copper_resistance_protein_C
K14166|ycnJ;_copper_transport_protein
K18235|vgb;_virginiamycin_B_lyase_[EC:4.2.99.-]
K03163|TOP1;_DNA_topoisomerase_I_[EC:5.6.2.1]
K09015|sufD;_Fe-S_cluster_assembly_protein_SufD
K13722|trf2_3;_tricorn_protease_interacting_factor_F2/3_[EC:3.4.11.-]
K08321|lsrF;_3-hydroxy-5-phosphonooxypentane-2,4-dione_thiolase_[EC:2.3.1.245]
K03698|cbf,_cbf1;_3'-5'_exoribonuclease_[EC:3.1.-.-]
K26730|napA,_nhaS3,_nhaS5,_gerN;_Na+:H+_antiporter
K01082|cysQ,_MET22,_BPNT1;_3'(2'),_5'-bisphosphate_nucleotidase_[EC:3.1.3.7]
K01433|purU;_formyltetrahydrofolate_deformylase_[EC:3.5.1.10]
K18594|K18594;_3-hydroxypropionyl-CoA_synthetase_(ADP-forming)_[EC:6.2.1.-]
K02042|phnE;_phosphonate_transport_system_permease_protein
K07458|vsr;_DNA_mismatch_endonuclease,_patch_repair_protein_[EC:3.1.-.-]
K18912|egtB;_gamma-glutamyl_hercynylcysteine_S-oxide_synthase_[EC:1.14.99.50]
K04719|bluB;_5,6-dimethylbenzimidazole_synthase_[EC:1.13.11.79]
K24451|zim;_modification_methylase
K07588|MMAA,_argK;_GTPase_[EC:3.6.5.-]
K03699|tlyC;_magnesium_and_cobalt_exporter,_CNNM_family
K03975|dedA;_membrane-associated_protein
K21140|mec;_[CysO_sulfur-carrier_protein]-S-L-cysteine_hydrolase_[EC:3.13.1.6]
K03704|cspA;_cold_shock_protein
K03580|hepA;_ATP-dependent_helicase_HepA_[EC:5.6.2.-]
K02044|phnD;_phosphonate_transport_system_substrate-binding_protein
K06941|rlmN;_23S_rRNA_(adenine2503-C2)-methyltransferase_[EC:2.1.1.192]
K08178|JEN;_MFS_transporter,_SHS_family,_lactate_transporter
K07257|spsF;_spore_coat_polysaccharide_biosynthesis_protein_SpsF
K01841|pepM;_phosphoenolpyruvate_phosphomutase_[EC:5.4.2.9]
K01776|murI;_glutamate_racemase_[EC:5.1.1.3]
K00997|acpS;_holo-[acyl-carrier_protein]_synthase_[EC:2.7.8.7]
K22736|VIT;_vacuolar_iron_transporter_family_protein
K19784|chrR,_NQR;_chromate_reductase,_NAD(P)H_dehydrogenase_(quinone)
