knum	threshold	score_type	profile_type	F-measure	nseq	nseq_used	alen	mlen	eff_nseq	re/pos	definition
K06330	127.13	full	all	0.980289	447	373	2147	521	9.32	0.590	spore coat protein H
K06331	329.37	full	all	0.958587	93	76	547	337	2.19	0.590	spore coat protein I
K06332	46.27	full	all	1.000000	367	260	240	110	1.72	0.589	spore coat protein JA
K06333	34.50	full	all	1.000000	660	515	315	104	2.84	0.590	spore coat protein JB
K06334	191.30	full	trim	0.983599	623	455	301	195	1.10	0.591	spore coat protein JC
K06335	103.53	full	all	0.946919	157	92	179	128	2.10	0.590	spore coat protein M
K06336	57.97	domain	all	0.976863	387	311	1048	283	9.61	0.590	spore coat-associated protein N
K06337	342.37	full	all	0.984127	50	35	391	345	1.29	0.590	spore coat-associated protein S
K06338	254.60	full	trim	0.958865	229	209	1068	460	4.34	0.590	spore coat protein SA
K06339	94.53	full	all	0.871184	31	22	149	90	1.32	0.633	spore coat protein T
K06340	163.97	full	all	1.000000	68	40	136	128	0.76	0.592	spore coat protein V
K06341	41.37	domain	all	0.988304	139	87	215	96	4.32	0.596	spore coat protein W
K06342	88.37	full	all	0.991690	240	183	402	165	2.29	0.590	spore coat protein X
K06343	63.13	full	all	1.000000	416	267	567	187	3.43	0.590	CotY/CotZ family spore coat protein
K06345	66.57	full	all	0.991501	250	178	545	221	5.49	0.590	spore cortex protein
K06346	74.80	full	all	0.998326	3168	2688	2399	337	11.84	0.590	spoIIIJ-associated protein
K06347	109.77	full	all	0.998236	403	286	247	126	1.71	0.590	kinase-associated protein B
K06348	152.80	full	all	0.987421	240	161	465	207	2.42	0.589	sporulation inhibitor KapD
K06349	112.07	full	all	0.979822	466	380	401	213	2.89	0.590	KinB signaling pathway activation protein
K06350	380.77	full	trim	0.858279	758	658	1172	474	2.84	0.590	antagonist of KipI
K06351	274.33	domain	all	0.799328	1099	956	784	311	4.33	0.590	inhibitor of KinA
K06352	97.03	full	all	1.000000	51	15	62	44	1.29	1.247	phosphatase RapA inhibitor
K06353	81.93	full	all	1.000000	51	13	69	40	1.38	1.369	phosphatase RapC regulator
K06354	59.27	full	all	1.000000	24	12	101	78	1.02	0.724	phosphatase RapE regulator
K06355	77.43	full	all	1.000000	35	14	39	39	1.86	1.402	phosphatase RapF regulator
K06356	86.33	full	all	1.000000	30	11	38	38	1.47	1.437	phosphatase RapG regulator
K06357	69.33	full	all	1.000000	10	6	44	39	1.64	1.399	phosphatase RapI regulator
K06358	82.93	full	all	1.000000	19	8	40	40	1.52	1.366	phosphatase RapK regulator
K06359	536.93	full	all	0.955863	113	71	462	375	1.04	0.591	response regulator aspartate phosphatase A (stage 0 sporulation protein L) [EC:3.1.-.-]
K06360	569.27	full	all	0.865789	59	31	453	373	1.53	0.590	response regulator aspartate phosphatase B [EC:3.1.-.-]
K06361	442.07	full	all	0.638889	135	83	449	364	1.85	0.590	response regulator aspartate phosphatase C [EC:3.1.-.-]
K06362	447.23	full	all	1.000000	90	64	377	360	1.06	0.591	response regulator aspartate phosphatase D [EC:3.1.-.-]
K06363	560.93	full	all	0.974359	28	20	386	375	0.63	0.590	response regulator aspartate phosphatase E [EC:3.1.-.-]
K06364	481.17	full	all	0.621497	114	73	447	364	1.45	0.591	response regulator aspartate phosphatase F [EC:3.1.-.-]
K06365	442.40	full	all	0.804202	42	29	452	361	2.01	0.590	response regulator aspartate phosphatase G [EC:3.1.-.-]
K06366	544.47	full	all	0.956797	99	73	432	376	0.81	0.590	response regulator aspartate phosphatase H [EC:3.1.-.-]
K06367	441.37	full	all	0.870655	52	44	442	375	1.91	0.590	response regulator aspartate phosphatase I [EC:3.1.-.-]
K06368	479.73	full	all	0.806517	76	49	406	374	1.59	0.590	response regulator aspartate phosphatase J [EC:3.1.-.-]
K06369	465.83	full	all	0.977753	59	47	434	371	1.31	0.590	response regulator aspartate phosphatase K [EC:3.1.-.-]
K06370	70.13	domain	all	0.970595	312	276	3629	365	4.84	0.590	morphogenetic protein associated with SpoVID
K06371	34.57	full	all	1.000000	482	335	189	105	5.22	0.590	developmental checkpoint coupling sporulation initiation to replication initiation
K06372	45.53	domain	trim	0.794382	212	126	100	48	9.02	1.150	antagonist of SinR
K06373	153.40	full	all	1.000000	787	623	753	293	2.26	0.590	spore maturation protein A
K06374	150.40	full	all	0.998374	783	617	229	176	1.96	0.589	spore maturation protein B
K06375	75.20	full	all	0.998358	399	305	422	183	4.91	0.590	stage 0 sporulation protein B (sporulation initiation phosphotransferase) [EC:2.7.-.-]
K06376	39.77	full	all	0.997050	237	173	169	91	5.33	0.627	stage 0 sporulation regulatory protein
K06377	64.10	full	all	0.999571	1287	1167	1128	335	5.94	0.590	sporulation-control protein
K06378	112.87	domain	all	0.563803	1250	1012	697	204	16.99	0.590	stage II sporulation protein AA (anti-sigma F factor antagonist)
K06379	147.93	full	all	0.989565	769	583	340	156	2.63	0.589	stage II sporulation protein AB (anti-sigma F factor) [EC:2.7.11.1]
K06380	106.73	full	all	1.000000	274	225	890	378	7.98	0.590	stage II sporulation protein B
K06381	70.47	full	all	0.999038	1676	1557	7498	580	15.04	0.590	stage II sporulation protein D (peptidoglycan lytic transglycosylase) [EC:4.2.2.29]
K06382	228.50	full	all	1.000000	719	618	1773	795	5.95	0.590	stage II sporulation protein E [EC:3.1.3.16]
K06383	100.80	full	all	0.996679	692	602	1020	374	8.01	0.590	stage II sporulation protein GA (sporulation sigma-E factor processing peptidase) [EC:3.4.23.-]
K06384	34.10	full	all	0.996335	1153	962	1185	236	13.26	0.590	stage II sporulation protein M
K06385	170.40	full	all	0.996305	953	815	2097	440	7.18	0.590	stage II sporulation protein P
K06386	154.33	full	all	1.000000	440	366	663	315	2.55	0.590	stage II sporulation protein Q
K06387	81.43	full	all	1.000000	726	630	1487	289	3.84	0.590	stage II sporulation protein R
K06388	185.47	full	all	0.990991	89	56	285	248	1.47	0.589	stage II sporulation protein SA
K06389	49.77	full	all	1.000000	76	28	76	57	2.88	0.977	stage II sporulation protein SB
K06390	220.00	full	all	1.000000	699	605	941	334	1.68	0.590	stage III sporulation protein AA
K06391	74.27	full	all	0.994382	663	535	283	172	6.31	0.590	stage III sporulation protein AB
K06392	47.27	domain	all	0.998830	716	430	119	67	2.96	0.838	stage III sporulation protein AC
K06393	68.43	full	all	0.999011	695	509	164	128	1.97	0.590	stage III sporulation protein AD
K06394	114.77	full	all	1.000000	715	592	880	391	5.04	0.590	stage III sporulation protein AE
K06395	35.93	full	all	0.994872	597	489	742	259	9.85	0.590	stage III sporulation protein AF
K06396	67.83	full	all	0.998227	685	565	583	221	5.69	0.590	stage III sporulation protein AG
K06397	55.67	full	all	0.999116	695	567	662	242	8.17	0.590	stage III sporulation protein AH
K06398	485.17	full	all	1.000000	751	593	635	492	1.01	0.590	stage IV sporulation protein A
K06399	180.57	domain	all	1.000000	729	641	1099	492	2.65	0.590	stage IV sporulation protein B [EC:3.4.21.116]
K06400	151.47	full	all	0.987351	4705	4302	8735	755	21.95	0.590	site-specific DNA recombinase
K06401	146.73	full	all	0.986566	375	299	755	302	3.97	0.590	stage IV sporulation protein FA
K06402	104.03	full	all	0.991466	684	591	966	331	7.91	0.590	stage IV sporulation protein FB [EC:3.4.24.-]
K06403	126.93	full	all	0.998617	444	363	359	209	2.20	0.590	stage V sporulation protein AA
K06404	100.07	full	all	0.995646	445	346	275	140	2.57	0.590	stage V sporulation protein AB
K06405	119.00	full	all	0.993376	963	754	269	153	1.56	0.590	stage V sporulation protein AC
K06406	329.87	full	all	1.000000	964	793	792	415	1.61	0.590	stage V sporulation protein AD
K06407	52.10	full	all	0.995290	1276	960	331	125	4.15	0.590	stage V sporulation protein AE
K06408	464.57	full	all	0.999147	685	587	1385	525	1.33	0.591	stage V sporulation protein AF
K06409	387.70	full	trim	0.849572	1303	1143	1538	579	8.38	0.590	stage V sporulation protein B
K06410	113.77	full	all	1.000000	632	521	631	314	4.96	0.590	dipicolinate synthase subunit A
K06411	206.90	full	all	0.997863	604	469	312	197	1.50	0.590	dipicolinate synthase subunit B
K06412	27.37	full	all	0.999395	1310	828	426	145	4.17	0.590	stage V sporulation protein G
K06413	338.97	full	all	0.973018	617	508	1275	467	3.04	0.590	stage V sporulation protein K
K06414	47.33	full	all	1.000000	295	140	59	40	3.42	1.367	stage V sporulation protein M
K06415	242.07	full	all	1.000000	2109	1729	2126	704	2.75	0.590	stage V sporulation protein R
K06416	59.53	full	all	1.000000	1040	548	278	169	2.43	0.590	stage V sporulation protein S
K06417	111.87	domain	all	0.994746	326	284	2120	421	3.12	0.590	stage VI sporulation protein D
K06418	97.23	full	all	0.313081	562	370	171	87	2.66	0.654	small acid-soluble spore protein A (major alpha-type SASP)
K06419	105.27	domain	all	0.479400	748	472	218	110	2.51	0.590	small acid-soluble spore protein B (major beta-type SASP)
K06420	146.17	full	trim	0.666667	15	7	82	70	0.86	0.805	small acid-soluble spore protein C (minor alpha/beta-type SASP)
K06421	90.80	full	all	0.466880	711	536	224	134	4.98	0.590	small acid-soluble spore protein D (minor alpha/beta-type SASP)
K06422	30.30	domain	all	0.970773	359	248	700	121	3.84	0.590	small acid-soluble spore protein E (minor gamma-type SASP)
K06423	64.97	full	trim	0.952722	550	369	248	158	3.05	0.590	small acid-soluble spore protein F (minor alpha/beta-type SASP)
K06424	98.43	full	all	1.000000	28	11	53	48	1.03	1.149	small acid-soluble spore protein G (minor)
K06425	45.83	full	all	1.000000	655	452	148	78	3.77	0.726	small acid-soluble spore protein H (minor)
K06426	64.03	full	all	1.000000	441	296	98	71	1.96	0.793	small acid-soluble spore protein I (minor)
K06427	87.13	full	all	1.000000	66	19	65	46	1.51	1.196	small acid-soluble spore protein J (minor)
K06428	44.17	full	all	1.000000	251	130	109	54	3.29	1.029	small acid-soluble spore protein K (minor)
K06429	42.77	full	all	0.995169	178	105	93	47	4.78	1.173	small acid-soluble spore protein L (minor)
K06430	37.37	full	all	1.000000	77	28	63	36	4.87	1.510	small acid-soluble spore protein M (minor)
K06431	49.63	full	all	1.000000	240	110	110	77	1.93	0.734	small acid-soluble spore protein N (minor)
K06432	40.17	full	all	1.000000	243	129	146	67	2.74	0.837	small acid-soluble spore protein O (minor)
K06433	41.43	full	all	1.000000	301	178	88	47	5.03	1.173	small acid-soluble spore protein P (minor)
K06434	45.20	full	all	1.000000	449	331	138	77	3.03	0.734	small acid-soluble spore protein (thioredoxin-like protein)
K06435	80.80	full	all	1.000000	13	4	36	36	1.44	1.510	required for translation of spoIIID
K06436	277.60	full	all	1.000000	550	429	470	283	1.14	0.590	spore coat assemly protein
K06437	253.73	full	all	0.968414	72	50	432	316	2.02	0.590	sigma-E controlled sporulation protein
K06438	144.33	full	all	1.000000	716	621	946	456	7.46	0.590	similar to stage IV sporulation protein
K06439	92.53	domain	all	0.916747	251	196	201	104	2.95	0.590	similar to spore coat protein
K06440	62.10	domain	all	0.978983	331	242	202	86	2.77	0.661	similar to spore coat protein
K06441	856.03	full	all	1.000000	20	19	660	602	0.68	0.588	ferredoxin hydrogenase gamma subunit [EC:1.12.7.2]
K06442	64.30	full	all	0.999880	4786	4173	2814	373	3.79	0.590	23S rRNA (cytidine1920-2'-O)/16S rRNA (cytidine1409-2'-O)-methyltransferase [EC:2.1.1.226 2.1.1.227]
K06443	106.20	full	all	0.715300	1155	1108	2270	492	7.49	0.590	lycopene beta-cyclase [EC:5.5.1.19]
K06444	560.80	full	all	0.997151	184	176	1145	533	0.81	0.591	lycopene epsilon-cyclase [EC:5.5.1.18]
K06445	377.27	full	trim	0.997374	2227	1897	1533	807	1.75	0.590	acyl-CoA dehydrogenase [EC:1.3.99.-]
K06446	496.00	domain	all	0.973423	1067	889	812	390	1.83	0.590	acyl-CoA dehydrogenase [EC:1.3.99.-]
K06447	444.73	domain	all	0.998153	1603	1354	910	490	1.43	0.590	succinylglutamic semialdehyde dehydrogenase [EC:1.2.1.71]
K06448	212.53	domain	all	0.995505	1130	1115	4215	526	4.33	0.590	T-cell surface glycoprotein CD1
K06449	129.83	domain	all	0.965905	560	550	2326	395	7.15	0.590	T-cell surface glycoprotein CD2
K06450	213.70	domain	trim	0.888426	275	267	608	237	2.91	0.590	T-cell surface glycoprotein CD3 delta chain
K06451	108.80	domain	all	0.993186	381	368	1024	285	4.06	0.590	T-cell surface glycoprotein CD3 epsilon chain
K06452	194.53	domain	trim	0.806703	215	206	381	190	2.44	0.590	T-cell surface glycoprotein CD3 gamma chain
K06453	80.73	domain	all	0.948686	482	459	1220	253	3.55	0.590	CD3Z antigen, zeta polypeptide
K06454	218.57	domain	trim	0.984374	386	379	1729	566	5.65	0.590	T-cell surface glycoprotein CD4
K06455	164.77	domain	all	0.979984	230	225	1979	553	2.06	0.590	T-cell surface glycoprotein CD5
K06456	276.83	domain	trim	0.965803	349	346	3504	672	2.49	0.590	T-cell surface glycoprotein CD6
K06457	80.37	domain	all	0.993763	252	239	1456	366	4.58	0.590	T-cell surface glycoprotein CD7
K06458	120.53	domain	all	0.996264	417	403	1323	309	5.33	0.590	T-cell surface glycoprotein CD8 alpha chain
K06459	139.27	domain	all	0.997163	366	353	1186	338	5.02	0.590	T-cell surface glycoprotein CD8 beta chain
K06460	330.93	full	all	0.770936	766	711	1302	331	5.01	0.590	CD9 antigen
K06461	1457.80	domain	trim	0.890357	394	389	2758	1142	1.37	0.591	integrin alpha M
K06462	1995.40	domain	trim	0.846743	147	139	1866	1160	1.18	0.590	integrin alpha X
K06463	391.70	domain	all	0.854302	165	155	992	388	3.28	0.590	low affinity immunoglobulin gamma Fc receptor III
K06464	1017.50	full	trim	0.959264	443	441	2786	944	1.57	0.590	integrin beta 2
K06465	149.40	domain	trim	1.000000	166	164	1467	610	2.08	0.590	B-lymphocyte antigen CD19
K06466	142.10	domain	all	0.989966	162	152	616	297	1.73	0.589	B-lymphocyte antigen CD20
K06467	256.27	domain	all	0.694220	1354	1347	22013	876	8.99	0.590	CD22 antigen
K06468	232.20	domain	all	0.697794	268	263	1761	348	7.89	0.590	low affinity immunoglobulin epsilon Fc receptor
K06469	62.43	full	all	0.981129	177	158	461	190	4.43	0.590	CD24 antigen
K06470	136.07	full	all	0.979760	390	351	731	290	5.26	0.590	CD28 antigen
K06471	286.47	domain	trim	0.990582	487	482	2576	858	3.29	0.590	platelet/endothelial cell adhesion molecule
K06472	273.90	domain	trim	0.569620	201	197	1399	464	5.35	0.590	low affinity immunoglobulin gamma Fc receptor II-a
K06473	526.77	domain	all	0.543332	261	258	2026	451	3.82	0.590	CD33 antigen
K06474	151.90	full	all	0.997770	455	450	1473	420	4.82	0.590	CD34 antigen
K06475	320.87	full	all	0.955692	209	198	1338	426	2.33	0.590	CD37 antigen
K06476	1228.20	full	all	0.941662	318	316	3147	1165	3.10	0.589	integrin alpha 2B
K06477	84.40	full	all	0.996825	159	159	1620	537	4.81	0.590	sialophorin
K06478	916.60	domain	trim	0.966016	412	408	5707	1272	2.21	0.590	receptor-type tyrosine-protein phosphatase C [EC:3.1.3.48]
K06479	181.83	domain	all	0.866739	259	253	1209	370	5.92	0.590	CD48 antigen
K06480	1267.63	domain	all	0.983138	398	393	2472	1195	1.12	0.590	integrin alpha 1
K06481	1275.67	domain	all	0.970065	418	412	3041	1294	1.46	0.590	integrin alpha 2
K06482	1108.57	full	all	0.985500	461	455	3060	1124	1.59	0.590	integrin alpha 3
K06483	1069.60	full	all	0.845594	530	528	4589	1072	4.48	0.590	integrin alpha 4
K06484	1379.13	full	trim	0.954370	417	410	3929	1123	2.36	0.590	integrin alpha 5
K06485	1423.90	full	all	0.912269	639	624	2794	1145	1.99	0.591	integrin alpha 6
K06486	722.47	domain	trim	0.919064	130	121	944	546	1.11	0.590	intercellular adhesion molecule 3
K06487	1411.70	full	all	0.920355	428	411	4939	1111	3.06	0.590	integrin alpha V
K06488	68.43	full	all	1.000000	72	61	245	147	1.89	0.590	CDW52 antigen
K06489	259.40	domain	all	0.879142	319	281	696	296	4.07	0.590	CD53 antigen
K06490	724.90	domain	all	0.926236	157	153	1369	580	1.78	0.591	intercellular adhesion molecule 1
K06491	336.37	domain	all	0.945431	1346	1322	7183	923	5.77	0.590	neural cell adhesion molecule
K06492	180.47	domain	all	0.876787	235	228	1324	422	7.34	0.590	CD58 antigen
K06493	1166.10	domain	all	0.943456	533	516	2224	904	1.32	0.590	integrin beta 3
K06494	474.40	domain	all	0.425272	267	262	3397	621	2.97	0.590	selectin, endothelial cell
K06495	478.27	domain	trim	0.722800	237	226	2160	437	2.27	0.590	selectin, lymphocyte
K06496	714.73	domain	all	0.580057	485	483	14235	981	3.85	0.590	selectin, platelet
K06497	244.80	full	all	0.632874	1549	1461	3178	357	9.07	0.590	CD63 antigen
K06498	303.63	domain	trim	0.897965	257	250	1242	524	5.63	0.590	high affinity immunoglobulin gamma Fc receptor I
K06499	157.33	domain	all	0.792174	2119	2104	34361	637	9.54	0.590	carcinoembryonic antigen-related cell adhesion molecule
K06500	410.60	domain	all	0.858412	215	210	1487	581	2.86	0.590	pregnancy specific beta-1-glycoprotein
K06501	262.33	domain	all	0.950612	277	271	1458	379	2.78	0.590	CD68 antigen
K06502	212.47	domain	all	0.790296	197	184	1080	323	4.10	0.590	CD69 antigen
K06503	891.53	full	all	0.974572	530	525	1993	841	1.97	0.590	transferrin receptor
K06504	149.07	domain	all	0.982364	344	340	1963	598	5.01	0.590	CD72 antigen
K06505	108.07	domain	all	1.000000	397	383	953	368	2.13	0.590	CD74 antigen
K06506	146.50	domain	all	0.996732	320	307	966	293	2.44	0.590	CD79A antigen
K06507	117.70	domain	all	0.998605	376	361	1013	299	3.31	0.590	CD79B antigen
K06508	267.93	domain	trim	0.785847	716	648	1831	293	4.10	0.590	CD81 antigen
K06509	330.03	full	all	0.845371	640	604	1310	317	4.20	0.590	CD82 antigen
K06510	101.90	domain	all	0.998742	422	401	972	390	5.30	0.590	CD83 antigen
K06511	204.30	domain	all	0.455470	628	621	2590	398	11.80	0.590	CD84 antigen
K06512	383.53	domain	all	0.849475	1008	1003	23457	641	3.85	0.590	leukocyte immunoglobulin-like receptor
K06513	317.57	domain	all	0.822663	90	89	792	285	1.48	0.590	CD89 antigen
K06514	77.37	domain	all	1.000000	301	229	782	292	3.13	0.590	Thy-1 cell surface antigen
K06515	824.13	full	all	0.755605	937	910	4864	885	5.74	0.590	solute carrier family 44 (choline transporter-like protein), member 1
K06516	179.90	domain	all	0.942495	233	223	1145	280	3.04	0.590	killer cell lectin-like receptor subfamily D member 1
K06517	137.73	domain	trim	0.969439	230	230	1898	655	3.36	0.590	CD96 antigen
K06518	40.73	full	all	0.906043	4176	3076	1091	236	14.58	0.590	holin-like protein
K06519	327.53	full	all	0.857882	697	685	2286	600	4.66	0.590	solute carrier family 3, member 2
K06520	39.00	domain	all	0.995745	842	821	3396	270	5.17	0.590	CD99 antigen
K06521	663.07	domain	all	0.937126	2780	2730	7335	835	2.85	0.590	semaphorin 4
K06522	748.30	full	all	0.991683	792	786	6197	1193	2.01	0.590	immunoglobulin superfamily, member 2/3
K06523	311.00	domain	all	0.974542	169	161	1067	354	2.29	0.591	intercellular adhesion molecule 2
K06524	882.53	domain	all	0.977076	268	268	6153	1198	1.53	0.591	integrin alpha E
K06525	1757.80	full	all	1.000000	400	400	3875	1817	0.74	0.591	integrin beta 4
K06526	270.30	domain	trim	0.971167	254	247	1780	807	3.48	0.590	endoglin
K06527	255.07	domain	all	0.937702	432	428	6115	677	4.60	0.590	vascular cell adhesion molecule 1
K06528	200.33	full	all	0.914427	1152	1123	3459	480	7.67	0.590	lysosomal-associated membrane protein 1/2
K06529	464.80	full	trim	0.984045	702	691	3107	704	2.45	0.590	semaphorin 7
K06530	1101.40	full	all	0.885179	1171	1163	15750	2768	6.73	0.590	CD109 antigen
K06531	506.47	full	all	0.938486	421	412	2903	551	2.91	0.590	poliovirus receptor-related protein 2
K06532	642.93	full	all	0.866023	1069	1061	6248	914	8.29	0.590	prominin 1
K06533	902.40	domain	all	0.979205	401	394	1630	997	1.49	0.591	cadherin 5, type 2, VE-cadherin
K06534	612.37	domain	all	0.965037	525	518	2962	732	2.04	0.590	melanoma cell adhesion molecule
K06535	329.13	domain	trim	0.892061	454	447	2063	406	4.70	0.590	basigin
K06536	184.53	domain	trim	0.989159	194	186	1083	389	3.31	0.590	signaling lymphocytic activation molecule family member 1
K06537	380.67	full	all	0.649861	890	826	2139	429	8.04	0.590	CD151 antigen
K06538	169.23	full	trim	0.963251	406	365	729	276	4.22	0.590	cytotoxic T-lymphocyte-associated protein 4
K06539	531.50	domain	all	0.831874	152	147	1538	495	2.99	0.590	poliovirus receptor
K06540	904.70	domain	all	0.959978	469	468	4375	999	2.00	0.590	disintegrin and metalloproteinase domain-containing protein 8 [EC:3.4.24.-]
K06541	176.70	domain	all	0.832615	495	486	2135	297	2.93	0.590	killer cell lectin-like receptor subfamily C1
K06542	96.23	domain	all	1.000000	130	127	662	310	3.67	0.590	CD160 antigen
K06543	253.63	domain	all	0.670874	321	312	1212	355	5.18	0.590	killer cell lectin-like receptor subfamily B
K06544	103.03	full	all	0.987366	241	241	1877	600	7.20	0.590	selectin P ligand
K06545	709.43	domain	all	0.639359	778	778	28742	1412	4.85	0.590	CD163 antigen
K06546	42.23	domain	trim	0.984142	551	535	1710	270	5.98	0.590	CD164 antigen
K06547	405.70	domain	all	0.994373	469	447	1407	591	1.72	0.590	activated leukocyte cell adhesion molecule
K06548	526.03	domain	all	0.976747	242	241	4310	1770	1.94	0.590	sialoadhesin
K06549	556.60	domain	all	0.724476	577	574	11553	991	6.93	0.590	sialic acid binding Ig-like lectin 5
K06550	1456.00	domain	trim	0.941003	404	394	3186	1376	1.67	0.589	L1 cell adhesion molecule
K06551	205.27	domain	all	0.903539	875	867	6402	519	5.56	0.590	signal-regulatory protein alpha/beta1/gamma
K06552	306.63	full	all	0.987117	154	153	2949	495	1.44	0.591	CD177 antigen
K06553	114.63	domain	all	0.948982	728	674	3161	304	7.26	0.590	pre-B lymphocyte gene
K06554	235.07	domain	trim	0.857669	125	122	1156	396	3.10	0.590	immunoglobulin lambda-like polypeptide 1
K06555	431.73	full	trim	0.991522	297	292	1414	684	1.98	0.590	CD180 antigen
K06556	167.87	domain	all	0.989361	1063	1045	3781	447	6.12	0.590	CD200 antigen
K06557	234.57	full	all	1.000000	242	222	638	315	1.76	0.591	protein C receptor, endothelial (EPCR)
K06558	211.70	domain	all	0.971366	166	162	1317	479	2.70	0.590	macrophage scavenger receptor 1
K06559	1430.10	domain	all	0.991147	400	396	3751	1853	1.17	0.589	lymphocyte antigen 75
K06560	1035.97	domain	all	0.927336	2104	2094	27149	1607	5.72	0.590	mannose receptor, C type
K06561	343.63	domain	all	0.830517	199	196	1400	383	3.64	0.590	CD207 antigen
K06562	242.73	domain	trim	0.971302	393	390	1425	433	4.63	0.590	lysosomal-associated membrane protein 3
K06563	186.80	domain	all	0.699343	724	708	2990	327	8.16	0.590	C-type lectin domain family 4 member L/M
K06564	131.80	full	trim	0.999087	551	471	6745	2332	2.40	0.590	insulin-like growth factor 2 receptor
K06565	289.03	domain	all	0.996016	385	381	1650	572	3.11	0.590	lymphocyte-activation gene 3 protein
K06566	54.43	full	all	0.920960	1632	1484	2817	228	7.93	0.590	interferon induced transmembrane protein
K06567	141.70	domain	all	0.994398	360	355	1517	503	4.44	0.590	CD226 antigen
K06568	146.03	domain	all	0.946804	218	215	4435	848	5.75	0.590	mucin-1
K06569	752.90	full	all	0.779641	736	723	6631	837	3.60	0.590	melanoma-associated antigen p97
K06570	324.60	domain	trim	0.930521	126	124	1936	653	3.86	0.590	lymphocyte antigen 9
K06571	376.63	full	all	0.689188	952	764	1800	306	3.52	0.590	tetraspanin-7
K06572	1043.57	domain	all	0.942304	488	485	5079	1785	2.25	0.590	plexin C
K06573	1392.87	domain	all	0.828851	434	430	2982	988	2.01	0.591	solute carrier family 4 (anion exchanger), member 1
K06574	244.67	full	all	1.000000	212	207	873	424	2.11	0.590	atypical chemokine receptor 1
K06575	53.60	full	all	0.978012	116	111	676	285	4.31	0.590	glycophorin A
K06576	134.23	full	all	0.974258	336	279	517	151	2.29	0.590	glycophorin C
K06577	655.20	domain	all	0.974164	338	336	2454	777	2.53	0.590	Kell blood group glycoprotein [EC:3.4.24.-]
K06578	599.47	domain	all	0.947646	312	303	2026	657	2.40	0.589	Lutheran blood group glycoprotein
K06579	507.37	full	all	0.984718	270	264	1146	522	1.58	0.591	Rhesus blood group glycoprotein
K06580	481.70	full	all	0.961282	1888	1840	4622	607	3.86	0.590	ammonium transporter Rh
K06581	251.67	domain	all	0.960797	148	140	823	390	1.72	0.591	intercellular adhesion molecule 4
K06582	183.47	domain	all	0.928619	266	262	2135	443	5.54	0.590	natural killer cell receptor 2B4
K06583	1543.87	full	all	0.811090	449	444	4688	1268	2.17	0.590	integrin alpha 7
K06584	1209.33	full	all	0.828753	530	526	6749	1103	3.50	0.590	integrin alpha 8
K06585	1072.83	full	all	0.842951	485	479	3924	1081	3.67	0.590	integrin alpha 9
K06586	1612.20	full	all	0.954187	343	343	3838	1375	1.16	0.590	integrin alpha 10
K06587	1520.90	domain	all	0.954831	494	486	4386	1251	1.38	0.590	integrin alpha 11
K06588	1181.53	full	all	0.961355	405	388	2695	1019	1.26	0.591	integrin beta 5
K06589	1088.00	domain	trim	0.979002	400	386	1220	785	0.85	0.589	integrin beta 6
K06590	1026.27	full	all	0.949346	264	260	1613	792	0.85	0.590	integrin beta 7
K06591	842.00	full	all	0.989428	395	382	1929	920	1.01	0.591	integrin beta 8
K06592	458.33	domain	all	0.944064	567	546	3151	704	4.05	0.590	poliovirus receptor-related protein 3
K06593	333.67	domain	all	0.969029	484	465	2780	654	4.23	0.590	poliovirus receptor-related 4
K06594	1979.90	full	all	0.852082	161	161	1903	1160	0.96	0.591	integrin alpha D
K06595	315.73	domain	all	0.865302	574	517	1305	528	5.42	0.590	heam-based aerotactic trancducer
K06596	848.03	full	all	0.978572	719	693	10314	1822	3.88	0.590	chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)
K06597	182.67	domain	trim	0.997821	268	215	1177	396	4.11	0.590	chemosensory pili system protein ChpB (putative protein-glutamate methylesterase)
K06598	82.23	domain	all	1.000000	454	388	414	217	3.37	0.590	chemosensory pili system protein ChpC
K06599	254.63	full	all	1.000000	50	36	296	263	1.03	0.592	AraC family transcriptional regulator, chemosensory pili system protein ChpD
K06600	226.13	full	all	1.000000	80	61	275	204	0.79	0.591	chemosensory pili system protein ChpE
K06601	57.07	full	all	1.000000	691	560	337	156	3.92	0.590	flagellar biosynthesis repressor protein FlbT
K06602	71.00	full	all	0.998847	555	437	294	143	4.18	0.590	flagellar biosynthesis activator protein FlaF
K06603	23.27	domain	all	0.997548	1843	1633	772	152	16.12	0.590	flagellar protein FlaG
K06604	68.33	full	all	1.000000	83	62	110	101	1.42	0.591	flagellar protein FlaI
K06605	274.70	full	all	0.999050	665	527	468	284	1.41	0.590	myo-inositol catabolism protein IolH
K06606	162.53	domain	all	0.994374	737	624	636	282	4.91	0.590	2-keto-myo-inositol isomerase [EC:5.3.99.11]
K06607	310.20	domain	all	0.958341	576	435	523	312	2.27	0.590	myo-inositol catabolism protein IolS [EC:1.1.1.-]
K06608	259.53	full	all	0.983912	267	190	510	278	1.71	0.589	DeoR family transcriptional regulator, myo-inositol catabolism operon repressor
K06609	485.13	domain	trim	0.983643	766	650	1036	480	1.57	0.591	MFS transporter, SP family, major inositol transporter
K06610	271.13	full	all	1.000000	391	311	749	432	2.42	0.589	MFS transporter, SP family, inositol transporter
K06611	886.30	domain	all	1.000000	194	188	1284	862	0.73	0.589	stachyose synthetase [EC:2.4.1.67]
