K00844	HKhexokinase[EC2.7.1.1]
K22081	mgsAmethylamine---glutamateN-methyltransferasesubunitA[EC2.1.1.21]
K22082	mgsBmethylamine---glutamateN-methyltransferasesubunitB[EC2.1.1.21]
K22083	mgsCmethylamine---glutamateN-methyltransferasesubunitC[EC2.1.1.21]
K22084	mgdAmethylglutamatedehydrogenasesubunitA[EC1.5.99.5]
K22085	mgdBmethylglutamatedehydrogenasesubunitB[EC1.5.99.5]
K22086	mgdCmethylglutamatedehydrogenasesubunitC[EC1.5.99.5]
K22087	mgdDmethylglutamatedehydrogenasesubunitD[EC1.5.99.5]
K00200	fwdAfmdAformylmethanofurandehydrogenasesubunitA[EC1.2.7.12]
K00201	fwdBfmdBformylmethanofurandehydrogenasesubunitB[EC1.2.7.12]
K00202	fwdCfmdCformylmethanofurandehydrogenasesubunitC[EC1.2.7.12]
K00203	fwdDfmdDformylmethanofurandehydrogenasesubunitD[EC1.2.7.12]
K00204	fwdH4Fe-4Sferredoxin
K00205	fwdFfmdF4Fe-4Sferredoxin
K11260	fwdG4Fe-4Sferredoxin
K11261	fwdEfmdEformylmethanofurandehydrogenasesubunitE[EC1.2.7.12]
K00672	ftrformylmethanofuran--tetrahydromethanopterinN-formyltransferase[EC2.3.1.101]
K01499	mchmethenyltetrahydromethanopterincyclohydrolase[EC3.5.4.27]
K00319	mtdmethylenetetrahydromethanopterindehydrogenase[EC1.5.98.1]
K00440	frhAcoenzymeF420hydrogenasesubunitalpha[EC1.12.98.1]
K00441	frhBcoenzymeF420hydrogenasesubunitbeta[EC1.12.98.1]
K00442	frhDcoenzymeF420hydrogenasesubunitdelta
K00443	frhGcoenzymeF420hydrogenasesubunitgamma[EC1.12.98.1]
K00300	mtdAmethylenetetrahydrofolate/methylenetetrahydromethanopterindehydrogenase(NADP+)[EC1.5.1.51.5.1.-]
K10714	mtdBmethylene-tetrahydromethanopterindehydrogenase[EC1.5.1.-]
K13942	hmd510-methenyltetrahydromethanopterinhydrogenase[EC1.12.98.2]
K10713	fae5678-tetrahydromethanopterinhydro-lyase[EC4.2.1.147]
K00320	mer510-methylenetetrahydromethanopterinreductase[EC1.5.98.2]
K00577	mtrAtetrahydromethanopterinS-methyltransferasesubunitA[EC2.1.1.86]
K00578	mtrBtetrahydromethanopterinS-methyltransferasesubunitB[EC2.1.1.86]
K00579	mtrCtetrahydromethanopterinS-methyltransferasesubunitC[EC2.1.1.86]
K00580	mtrDtetrahydromethanopterinS-methyltransferasesubunitD[EC2.1.1.86]
K00581	mtrEtetrahydromethanopterinS-methyltransferasesubunitE[EC2.1.1.86]
K00582	mtrFtetrahydromethanopterinS-methyltransferasesubunitF[EC2.1.1.86]
K00583	mtrGtetrahydromethanopterinS-methyltransferasesubunitG[EC2.1.1.86]
K00584	mtrHtetrahydromethanopterinS-methyltransferasesubunitH[EC2.1.1.86]
K00399	mcrAmethyl-coenzymeMreductasealphasubunit[EC2.8.4.1]
K00400	K00400methylcoenzymeMreductasesystemcomponentA2
K00401	mcrBmethyl-coenzymeMreductasebetasubunit[EC2.8.4.1]
K00402	mcrGmethyl-coenzymeMreductasegammasubunit[EC2.8.4.1]
K03421	mcrCmethyl-coenzymeMreductasesubunitC
K03422	mcrDmethyl-coenzymeMreductasesubunitD
K22480	hdrA1heterodisulfidereductasesubunitA1[EC1.8.7.3]
K22481	hdrB1heterodisulfidereductasesubunitB1[EC1.8.7.3]
K22482	hdrC1heterodisulfidereductasesubunitC1[EC1.8.7.3]
K03388	hdrA2heterodisulfidereductasesubunitA2[EC1.8.7.31.8.98.41.8.98.51.8.98.6]
K03389	hdrB2heterodisulfidereductasesubunitB2[EC1.8.7.31.8.98.41.8.98.51.8.98.6]
K03390	hdrC2heterodisulfidereductasesubunitC2[EC1.8.7.31.8.98.41.8.98.51.8.98.6]
K08264	hdrDheterodisulfidereductasesubunitD[EC1.8.98.1]
K08265	hdrEheterodisulfidereductasesubunitE[EC1.8.98.1]
K14127	mvhDvhuDvhcDF420-non-reducinghydrogenaseiron-sulfursubunit[EC1.12.99.-1.8.98.51.8.98.6]
K14126	mvhAvhuAvhcAF420-non-reducinghydrogenaselargesubunit[EC1.12.99.-1.8.98.5]
K14128	mvhGvhuGvhcGF420-non-reducinghydrogenasesmallsubunit[EC1.12.99.-1.8.98.5]
K00058	serAPHGDHD-3-phosphoglyceratedehydrogenase/2-oxoglutaratereductase[EC1.1.1.951.1.1.399]
K00831	serCPSAT1phosphoserineaminotransferase[EC2.6.1.52]
K01079	serBPSPHphosphoserinephosphatase[EC3.1.3.3]
K02203	thrHphosphoserine/homoserinephosphotransferase[EC3.1.3.32.7.1.39]
K22305	pspphosphoserinephosphatase[EC3.1.3.3]
K25528	ysaAphosphoserinephosphatase[EC3.1.3.3]
K14080	mtaA[methyl-Co(III)methanol/glycinebetaine-specificcorrinoidprotein]coenzymeMmethyltransferase[EC2.1.1.2462.1.1.377]
K04480	mtaBmethanol---5-hydroxybenzimidazolylcobamideCo-methyltransferase[EC2.1.1.90]
K14081	mtaCmethanolcorrinoidprotein
K14082	mtbA[methyl-Co(III)methylamine-specificcorrinoidprotein]coenzymeMmethyltransferase[EC2.1.1.247]
K14083	mttBtrimethylamine---corrinoidproteinCo-methyltransferase[EC2.1.1.250]
K14084	mttCtrimethylaminecorrinoidprotein
K16176	mtmBmethylamine---corrinoidproteinCo-methyltransferase[EC2.1.1.248]
K16177	mtmCmonomethylaminecorrinoidprotein
K16178	mtbBdimethylamine---corrinoidproteinCo-methyltransferase[EC2.1.1.249]
K16179	mtbCdimethylaminecorrinoidprotein
K08097	comAphosphosulfolactatesynthase[EC4.4.1.19]
K05979	comB2-phosphosulfolactatephosphatase[EC3.1.3.71]
K05884	comCL-2-hydroxycarboxylatedehydrogenase(NAD+)[EC1.1.1.337]
K06034	comDsulfopyruvatedecarboxylasesubunitalpha[EC4.1.1.79]
K13039	comEsulfopyruvatedecarboxylasesubunitbeta[EC4.1.1.79]
K24393	comDEsulfopyruvatedecarboxylase[EC4.1.1.79]
K11779	fbiCFOsynthase[EC2.5.1.1474.3.1.32]
K11781	cofH5-amino-6-(D-ribitylamino)uracil---L-tyrosine4-hydroxyphenyltransferase[EC2.5.1.147]
K11780	cofG78-didemethyl-8-hydroxy-5-deazariboflavinsynthase[EC4.3.1.32]
K14941	cofCfbiD2-phospho-L-lactate/phosphoenolpyruvateguanylyltransferase[EC2.7.7.682.7.7.105]
K11212	cofDLPPGFO2-phospho-L-lactatetransferase[EC2.7.8.28]
K24998	fbiBdehydrocoenzymeF420reductase/coenzymeF420-0L-glutamateligase/coenzymeF420-1gamma-L-glutamateligase[EC1.3.8.176.3.2.316.3.2.34]
K12234	cofEcoenzymeF420-0L-glutamateligase/coenzymeF420-1gamma-L-glutamateligase[EC6.3.2.316.3.2.34]
K14940	cofFgamma-F420-2alpha-L-glutamateligase[EC6.3.2.32]
K16792	aksDmethanogenhomoaconitaselargesubunit[EC4.2.1.114]
K16793	aksEmethanogenhomoaconitasesmallsubunit[EC4.2.1.114]
K10978	aksFmethanogenhomoisocitratedehydrogenase[EC1.1.1.871.1.1.-]
K18933	mfnAadctyrosinedecarboxylase/aspartate1-decarboxylase[EC4.1.1.254.1.1.11]
K06914	mfnDtyramine---L-glutamateligase[EC6.3.4.24]
K09733	mfnB(5-formylfuran-3-yl)methylphosphatesynthase[EC4.2.3.153]
K19793	mfnC(5-formylfuran-3-yl)methylphosphatetransaminase[EC2.6.1.108]
K07144	mfnE5-(aminomethyl)-3-furanmethanolphosphatekinase[EC2.7.4.31]
K07072	mfnF(4-(4-[2-(gamma-L-glutamylamino)ethyl]phenoxymethyl)furan-2-yl)methanaminesynthase[EC2.5.1.131]
K02575	NRT2narKnrtPnasAMFStransporterNNPfamilynitrate/nitritetransporter
K15576	nrtAnasFcynAnitrate/nitritetransportsystemsubstrate-bindingprotein
K15577	nrtBnasEcynBnitrate/nitritetransportsystempermeaseprotein
K15578	nrtCnasDnitrate/nitritetransportsystemATP-bindingprotein[EC7.3.2.4]
K15579	nrtDcynDnitrate/nitritetransportsystemATP-bindingprotein
K00367	narBferredoxin-nitratereductase[EC1.7.7.2]
K10534	NRnitratereductase(NAD(P)H)[EC1.7.1.11.7.1.21.7.1.3]
K00370	narGnarZnxrAnitratereductase/nitriteoxidoreductasealphasubunit[EC1.7.5.11.7.99.-]
K00371	narHnarYnxrBnitratereductase/nitriteoxidoreductasebetasubunit[EC1.7.5.11.7.99.-]
K00374	narInarVnitratereductasegammasubunit[EC1.7.5.11.7.99.-]
K02567	napAnitratereductase(cytochrome)[EC1.9.6.1]
K02568	napBnitratereductase(cytochrome)electrontransfersubunit
K00372	nasCnasAassimilatorynitratereductasecatalyticsubunit[EC1.7.99.-]
K00360	nasBassimilatorynitratereductaseelectrontransfersubunit[EC1.7.99.-]
K17877	NIT-6nitritereductase(NAD(P)H)[EC1.7.1.4]
K26139	nasDnasBnitritereductase[NAD(P)H]largesubunit[EC1.7.1.4]
K26138	nasEnitritereductase[NAD(P)H]smallsubunit[EC1.7.1.4]
K00361	nasBnitritereductase[NAD(P)H][EC1.7.1.4]
K00362	nirBnitritereductase(NADH)largesubunit[EC1.7.1.15]
K00363	nirDnitritereductase(NADH)smallsubunit[EC1.7.1.15]
K00366	nirAferredoxin-nitritereductase[EC1.7.7.1]
K03385	nrfAnitritereductase(cytochromec-552)[EC1.7.2.2]
K15876	nrfHcytochromecnitritereductasesmallsubunit
K00368	nirKnitritereductase(NO-forming)[EC1.7.2.1]
K15864	nirSnitritereductase(NO-forming)/hydroxylaminereductase[EC1.7.2.11.7.99.1]
K04561	norBnitricoxidereductasesubunitB[EC1.7.2.5]
K02305	norCnitricoxidereductasesubunitC
K15877	CYP55fungalnitricoxidereductase[EC1.7.1.14]
K00376	nosZnitrous-oxidereductase[EC1.7.2.4]
K27148	nodnitricoxidedismutase
K02586	nifDnitrogenasemolybdenum-ironproteinalphachain[EC1.18.6.1]
K02591	nifKnitrogenasemolybdenum-ironproteinbetachain[EC1.18.6.1]
K02588	nifHnitrogenaseironproteinNifH
K00531	anfGnitrogenasedeltasubunit[EC1.18.6.1]
K22896	vnfDvanadium-dependentnitrogenasealphachain[EC1.18.6.2]
K22897	vnfKvanadium-dependentnitrogenasebetachain[EC1.18.6.2]
K22898	vnfGvanadiumnitrogenasedeltasubunit[EC1.18.6.2]
K22899	vnfHvanadiumnitrogenaseironprotein
K20932	K20932hydrazinesynthasesubunit[EC1.7.2.7]
K20933	K20933hydrazinesynthasesubunit[EC1.7.2.7]
K20934	K20934hydrazinesynthasesubunit[EC1.7.2.7]
K20935	hdhhydrazinedehydrogenase[EC1.7.2.8]
K05601	hcphydroxylaminereductase[EC1.7.99.1]
K10535	haohydroxylaminedehydrogenase[EC1.7.2.6]
K00459	ncd2npdnitronatemonooxygenase[EC1.13.12.16]
K19823	NAOnitroalkaneoxidase[EC1.7.3.1]
K01501	E3.5.5.1nitrilase[EC3.5.5.1]
K15371	GDH2glutamatedehydrogenase[EC1.4.1.2]
K00260	gudBrocGglutamatedehydrogenase[EC1.4.1.2]
K00261	GLUD12gdhAglutamatedehydrogenase(NAD(P)+)[EC1.4.1.3]
K00262	E1.4.1.4gdhAglutamatedehydrogenase(NADP+)[EC1.4.1.4]
K00264	GLT1glutamatesynthase(NADH)[EC1.4.1.14]
K00265	gltBglutamatesynthase(NADPH)largechain[EC1.4.1.13]
K00266	gltDglutamatesynthase(NADPH)smallchain[EC1.4.1.13]
K01948	CPS1carbamoyl-phosphatesynthase(ammonia)[EC6.3.4.16]
K01725	cynScyanatelyase[EC4.2.1.104]
K00926	arcCcarbamatekinase[EC2.7.2.2]
K01672	CAcarbonicanhydrase[EC4.2.1.1]
K18245	CA2carbonicanhydrase2[EC4.2.1.1]
K18246	CA4carbonicanhydrase4[EC4.2.1.1]
K01673	cynTcancarbonicanhydrase[EC4.2.1.1]
K01674	cahcarbonicanhydrase[EC4.2.1.1]
K01743	E4.2.1.1carbonicanhydrase[EC4.2.1.1]
K02048	cysPsulfate/thiosulfatetransportsystemsubstrate-bindingprotein
K23163	sbpsulfate/thiosulfatetransportsystemsubstrate-bindingprotein
K02046	cysUsulfate/thiosulfatetransportsystempermeaseprotein
K02047	cysWsulfate/thiosulfatetransportsystempermeaseprotein
K02045	cysAsulfate/thiosulfatetransportsystemATP-bindingprotein[EC7.3.2.3]
K15551	tauAtaurinetransportsystemsubstrate-bindingprotein
K15552	tauCtaurinetransportsystempermeaseprotein
K10831	tauBtaurinetransportsystemATP-bindingprotein[EC7.6.2.7]
K03119	tauDtaurinedioxygenase[EC1.14.11.17]
K15553	ssuAsulfonatetransportsystemsubstrate-bindingprotein
K15554	ssuCsulfonatetransportsystempermeaseprotein
K15555	ssuBsulfonatetransportsystemATP-bindingprotein[EC7.6.2.14]
K04091	ssuDmsuDalkanesulfonatemonooxygenase[EC1.14.14.51.14.14.34]
K00299	ssuEmsuEFMNreductase[EC1.5.1.38]
K13811	PAPSS3'-phosphoadenosine5'-phosphosulfatesynthase[EC2.7.7.42.7.1.25]
K00955	cysNCbifunctionalenzymeCysN/CysC[EC2.7.7.42.7.1.25]
K00956	cysNsulfateadenylyltransferasesubunit1[EC2.7.7.4]
K00957	cysDsulfateadenylyltransferasesubunit2[EC2.7.7.4]
K00958	satmet3sulfateadenylyltransferase[EC2.7.7.4]
K00988	APA12sulfateadenylyltransferase(ADP)/ATPadenylyltransferase[EC2.7.7.52.7.7.53]
K22966	HINT4sulfateadenylyltransferase(ADP)/adenylylsulfatase[EC2.7.7.53.6.2.1]
K00860	cysCadenylylsulfatekinase[EC2.7.1.25]
K01082	cysQMET22BPNT13'(2')5'-bisphosphatenucleotidase[EC3.1.3.7]
K15759	IMPAD1IMPA3Golgi-residentPAPphosphatase[EC3.1.3.7]
K06881	nrnAbifunctionaloligoribonucleaseandPAPphosphataseNrnA[EC3.1.3.73.1.13.3]
K00394	aprAadenylylsulfatereductasesubunitA[EC1.8.99.2]
K00395	aprBadenylylsulfatereductasesubunitB[EC1.8.99.2]
K05907	APRadenylyl-sulfatereductase(glutathione)[EC1.8.4.9]
K00390	cysHphosphoadenosinephosphosulfatereductase[EC1.8.4.81.8.4.10]
K00387	SUOXsulfiteoxidase[EC1.8.3.1]
K05301	sorAsulfitedehydrogenase(cytochrome)subunitA[EC1.8.2.1]
K00386	sorBsulfitedehydrogenase(cytochrome)subunitB[EC1.8.2.1]
K21307	soeAsulfitedehydrogenase(quinone)subunitSoeA[EC1.8.5.6]
K21308	soeBsulfitedehydrogenase(quinone)subunitSoeB
K21309	soeCsulfitedehydrogenase(quinone)subunitSoeC
K17222	soxAL-cysteineS-thiosulfotransferase[EC2.8.5.2]
K17223	soxXL-cysteineS-thiosulfotransferase[EC2.8.5.2]
K17226	soxYsulfur-oxidizingproteinSoxY
K17227	soxZsulfur-oxidizingproteinSoxZ
K17224	soxBS-sulfosulfanyl-L-cysteinesulfohydrolase[EC3.1.6.20]
K17225	soxCsulfanedehydrogenasesubunitSoxC
K22622	soxDS-disulfanyl-L-cysteineoxidoreductaseSoxD[EC1.8.2.6]
K00380	cysJsulfitereductase(NADPH)flavoproteinalpha-component[EC1.8.1.2]
K00381	cysIsulfitereductase(NADPH)hemoproteinbeta-component[EC1.8.1.2]
K16950	asrAanaerobicsulfitereductasesubunitA
K16951	asrBanaerobicsulfitereductasesubunitB
K00385	asrCanaerobicsulfitereductasesubunitC
K00392	sirsulfitereductase(ferredoxin)[EC1.8.7.1]
K11180	dsrAdissimilatorysulfitereductasealphasubunit[EC1.8.1.22]
K11181	dsrBdissimilatorysulfitereductasebetasubunit[EC1.8.1.22]
K27196	dsrLdissimilatorysulfitereductaseflavoproteinsubunit
K27187	dsrM[DsrC]-trisulfidereductasesubunitM[EC1.8.5.10]
K27188	dsrK[DsrC]-trisulfidereductasesubunitK[EC1.8.5.10]
K27189	dsrJ[DsrC]-trisulfidereductasesubunitJ
K27190	dsrO[DsrC]-trisulfidereductasesubunitO
K27191	dsrP[DsrC]-trisulfidereductasesubunitP
K17218	sqrsulfidequinoneoxidoreductase[EC1.8.5.4]
K17995	hydGsulfhydrogenasesubunitgamma(sulfurreductase)[EC1.12.98.4]
K17996	hydBsulfhydrogenasesubunitbeta(sulfurreductase)[EC1.12.98.4]
K17993	hydAsulfhydrogenasesubunitalpha[EC1.12.1.31.12.1.5]
K17994	hydDsulfhydrogenasesubunitdelta[EC1.12.1.31.12.1.5]
K17229	fccBsulfidedehydrogenase[flavocytochromec]flavoproteinchain[EC1.8.2.3]
K17230	fccAcytochromesubunitofsulfidedehydrogenase
K16952	sorsulfuroxygenase/reductase[EC1.13.11.55]
K17219	sreAsulfurreductasemolybdopterinsubunit
K17220	sreBsulfurreductaseFeSsubunit
K17221	sreCsulfurreductasemembraneanchor
K22470	SQOReukaryoticsulfidequinoneoxidoreductase[EC1.8.5.8]
K17725	ETHE1sulfurdioxygenase[EC1.13.11.18]
K16936	doxAthiosulfatedehydrogenase(quinone)smallsubunit[EC1.8.5.2]
K16937	doxDthiosulfatedehydrogenase(quinone)largesubunit[EC1.8.5.2]
K05908	doxDAthiosulfatedehydrogenase(quinone)[EC1.8.5.2]
K08357	ttrAtetrathionatereductasesubunitA
K08358	ttrBtetrathionatereductasesubunitB
K08359	ttrCtetrathionatereductasesubunitC
K08352	phsApsrAthiosulfatereductase/polysulfidereductasechainA[EC1.8.5.5]
K08353	phsBthiosulfatereductaseelectrontransportprotein
K08354	phsCthiosulfatereductasecytochromebsubunit
K01011	TSTMPSTsseAthiosulfate/3-mercaptopyruvatesulfurtransferase[EC2.8.1.12.8.1.2]
K02439	glpEthiosulfatesulfurtransferase[EC2.8.1.1]
K00640	cysEserineO-acetyltransferase[EC2.3.1.30]
K23304	cysEserineO-acetyltransferase[EC2.3.1.30]
K10150	cysOcysteinesynthase/O-phosphoserinesulfhydrylase/cystathioninebeta-synthase[EC2.5.1.472.5.1.654.2.1.22]
K01738	cysKcysteinesynthase[EC2.5.1.47]
K13034	ATCYSC1L-3-cyanoalaninesynthase/cysteinesynthase[EC2.5.1.474.4.1.9]
K17069	MET17O-acetylhomoserine/O-acetylserinesulfhydrylase[EC2.5.1.492.5.1.47]
K00651	metAhomoserineO-succinyltransferase/O-acetyltransferase[EC2.3.1.462.3.1.31]
K00641	metXhomoserineO-acetyltransferase/O-succinyltransferase[EC2.3.1.312.3.1.46]
K01739	metBcystathioninegamma-synthase[EC2.5.1.48]
K10764	metZO-succinylhomoserinesulfhydrylase[EC2.5.1.-]
K17217	mccBcystathioninegamma-lyase/homocysteinedesulfhydrase[EC4.4.1.14.4.1.2]
K17285	SELENBP1methanethioloxidase[EC1.8.3.4]
K17228	sfnGdimethylsulfonemonooxygenase[EC1.14.14.35]
K16968	msmAmethanesulfonatemonooxygenasesubunitalpha[EC1.14.13.111]
K16969	msmBmethanesulfonatemonooxygenasesubunitbeta[EC1.14.13.111]
K15762	tmoCtbuBtouCtoluenemonooxygenasesystemferredoxinsubunit
K15765	tmoFtbuCtouFtoluenemonooxygenaseelectrontransfercomponent[EC1.18.1.3]
K07306	dmsAanaerobicdimethylsulfoxidereductasesubunitA[EC1.8.5.3]
K07307	dmsBanaerobicdimethylsulfoxidereductasesubunitB
K07308	dmsCanaerobicdimethylsulfoxidereductasesubunitC
K00184	dmsBdimethylsulfoxidereductaseiron-sulfursubunit
K00185	dmsCdimethylsulfoxidereductasemembranesubunit
K16964	ddhAdimethylsulfidedehydrogenasesubunitalpha[EC1.8.2.4]
K16965	ddhBdimethylsulfidedehydrogenasesubunitbeta
K16966	ddhCdimethylsulfidedehydrogenasesubunitgamma
K16953	dddLdimethylpropiothetindethiomethylase[EC4.4.1.3]
K17486	dmdAdimethylsulfoniopropionatedemethylase[EC2.1.1.269]
K20034	dmdB3-(methylthio)propionyl---CoAligase[EC6.2.1.44]
K20035	dmdC3-(methylsulfanyl)propanoyl-CoAdehydrogenase[EC1.3.99.41]
K20036	dmdD(methylthio)acryloyl-CoAhydratase[EC4.2.1.155]
K16967	dmoAdimethyl-sulfidemonooxygenase[EC1.14.13.131]
K21310	mddAmethanethiolS-methyltransferase[EC2.1.1.334]
K16954	mtsAmethylthiolcoenzymeMmethyltransferase[EC2.1.1.251]
K16955	mtsBmethylated-thiol--corrinoidprotein
K18660	ACSF3malonyl-CoA/methylmalonyl-CoAsynthetase[EC6.2.1.766.2.1.-]
K02078	acpPacylcarrierprotein
K00645	fabDMCATMCT1[acyl-carrier-protein]S-malonyltransferase[EC2.3.1.39]
K00665	FASNfattyacidsynthaseanimaltype[EC2.3.1.85]
K00668	FAS1fattyacidsynthasesubunitbetafungitype[EC2.3.1.86]
K00667	FAS2fattyacidsynthasesubunitalphafungitype[EC2.3.1.86]
K11533	fasfattyacidsynthasebacteriatype[EC2.3.1.-]
K00648	fabH3-oxoacyl-[acyl-carrier-protein]synthaseIII[EC2.3.1.180]
K18473	fabYacetoacetyl-[acyl-carrierprotein]synthase[EC2.3.1.180]
K00647	fabB3-oxoacyl-[acyl-carrier-protein]synthaseI[EC2.3.1.41]
K09458	fabFOXSMCEM13-oxoacyl-[acyl-carrier-protein]synthaseII[EC2.3.1.179]
K00059	fabGOAR13-oxoacyl-[acyl-carrierprotein]reductase[EC1.1.1.100]
K11539	CBR4carbonylreductase4/3-oxoacyl-[acyl-carrierprotein]reductasebetasubunit[EC1.1.1.-]
K13370	HSD17B817beta-estradiol17-dehydrogenase/3alpha(17beta)-hydroxysteroiddehydrogenase(NAD+)/3-oxoacyl-[acyl-carrierprotein]reductasealphasubunit[EC1.1.1.621.1.1.239]
K01716	fabA3-hydroxyacyl-[acyl-carrierprotein]dehydratase/trans-2-decenoyl-[acyl-carrierprotein]isomerase[EC4.2.1.595.3.3.14]
K02372	fabZ3-hydroxyacyl-[acyl-carrier-protein]dehydratase[EC4.2.1.59]
K16363	lpxC-fabZUDP-3-O-[3-hydroxymyristoyl]N-acetylglucosaminedeacetylase/3-hydroxyacyl-[acyl-carrier-protein]dehydratase[EC3.5.1.1084.2.1.59]
K22540	HTD23-hydroxyacyl-thioesterdehydrataseanimaltype[EC4.2.1.-]
K22541	HTD23-hydroxyacyl-thioesterdehydratasefungitype[EC4.2.1.-]
K00208	fabIenoyl-[acyl-carrierprotein]reductaseI[EC1.3.1.91.3.1.10]
K02371	fabKenoyl-[acyl-carrierprotein]reductaseII[EC1.3.1.9]
K10780	fabLenoyl-[acyl-carrierprotein]reductaseIII[EC1.3.1.104]
K07512	MECRNRBF1mitochondrialenoyl-[acyl-carrierprotein]reductase/trans-2-enoyl-CoAreductase[EC1.3.1.-1.3.1.38]
K18474	fabMtrans-2-decenoyl-[acyl-carrierprotein]isomerase[EC5.3.3.14]
K10781	FATBfattyacyl-ACPthioesteraseB[EC3.1.2.143.1.2.21]
K01071	MCHmedium-chainacyl-[acyl-carrier-protein]hydrolase[EC3.1.2.21]
K10782	FATAfattyacyl-ACPthioesteraseA[EC3.1.2.14]
K03921	FAB2SSI2desA1acyl-[acyl-carrier-protein]desaturase[EC1.14.19.21.14.19.111.14.19.26]
K03922	desA2acyl-[acyl-carrier-protein]desaturase[EC1.14.19.2]
K01897	ACSLfadDlong-chainacyl-CoAsynthetase[EC6.2.1.3]
K15013	ACSBGlong-chain-fatty-acid--CoAligaseACSBG[EC6.2.1.3]
K07508	ACAA2acetyl-CoAacyltransferase2[EC2.3.1.16]
K07509	HADHBacetyl-CoAacyltransferase[EC2.3.1.16]
K01074	PPTpalmitoyl-proteinthioesterase[EC3.1.2.22]
K10247	ELOVL1elongationofverylongchainfattyacidsprotein1[EC2.3.1.199]
K10205	ELOVL2elongationofverylongchainfattyacidsprotein2[EC2.3.1.199]
K10248	ELOVL3elongationofverylongchainfattyacidsprotein3[EC2.3.1.199]
K10249	ELOVL4elongationofverylongchainfattyacidsprotein4[EC2.3.1.199]
K10244	ELOVL5elongationofverylongchainfattyacidsprotein5[EC2.3.1.199]
K10203	ELOVL6elongationofverylongchainfattyacidsprotein6[EC2.3.1.199]
K10250	ELOVL7elongationofverylongchainfattyacidsprotein7[EC2.3.1.199]
K15397	KCS3-ketoacyl-CoAsynthase[EC2.3.1.199]
K10245	ELO2fattyacidelongase2[EC2.3.1.199]
K10246	ELO3fattyacidelongase3[EC2.3.1.199]
K10251	HSD17B12KARIFA3817beta-estradiol17-dehydrogenase/very-long-chain3-oxoacyl-CoAreductase[EC1.1.1.621.1.1.330]
K10703	HACDPHS1PAS2very-long-chain(3R)-3-hydroxyacyl-CoAdehydratase[EC4.2.1.134]
K10258	TERTSC13CER10very-long-chainenoyl-CoAreductase[EC1.3.1.93]
K01068	ACOT124acyl-coenzymeAthioesterase1/2/4[EC3.1.2.2]
K17360	ACOT7acyl-coenzymeAthioesterase7[EC3.1.2.2]
K16339	THEM4CTMPacyl-coenzymeAthioesteraseTHEM4[EC3.1.2.2]
K22554	THEM5acyl-coenzymeAthioesteraseTHEM5[EC3.1.2.2]
K00632	fadAfadIacetyl-CoAacyltransferase[EC2.3.1.16]
K07513	ACAA1acetyl-CoAacyltransferase1[EC2.3.1.16]
K10527	MFP2enoyl-CoAhydratase/3-hydroxyacyl-CoAdehydrogenase[EC4.2.1.171.1.1.351.1.1.211]
K13767	fadBenoyl-CoAhydratase[EC4.2.1.17]
K00249	ACADMacdacyl-CoAdehydrogenase[EC1.3.8.7]
K00255	ACADLlong-chain-acyl-CoAdehydrogenase[EC1.3.8.8]
K06445	fadEacyl-CoAdehydrogenase[EC1.3.99.-]
K09478	ACADSBshort-chain2-methylacyl-CoAdehydrogenase[EC1.3.8.5]
K09479	ACADVLverylongchainacyl-CoAdehydrogenase[EC1.3.8.9]
K00252	GCDHgcdHglutaryl-CoAdehydrogenase[EC1.3.8.6]
K08765	CPT1AcarnitineO-palmitoyltransferase1liverisoform[EC2.3.1.21]
K19523	CPT1BcarnitineO-palmitoyltransferase1muscleisoform[EC2.3.1.21]
K19524	CPT1CcarnitineO-palmitoyltransferase1brainisoform[EC2.3.1.21]
K08766	CPT2carnitineO-palmitoyltransferase2[EC2.3.1.21]
K01909	mbtMlong-chain-fatty-acid--[acyl-carrier-protein]ligase[EC6.2.1.20]
K05939	aasacyl-[acyl-carrier-protein]-phospholipidO-acyltransferase/long-chain-fatty-acid--[acyl-carrier-protein]ligase[EC2.3.1.406.2.1.20]
K13238	ECI1DCIDelta3-Delta2-enoyl-CoAisomerase[EC5.3.3.8]
K13239	ECI2PECIDelta3-Delta2-enoyl-CoAisomerase[EC5.3.3.8]
K07517	ECI12Delta3-Delta2-enoyl-CoAisomerase[EC5.3.3.8]
K18880	ECI3HCD1Delta3-Delta2-enoyl-CoAisomerase[EC5.3.3.8]
K00496	alkB12alkMalkane1-monooxygenase[EC1.14.15.3]
K07422	CYP2U1long-chainfattyacidomega-monooxygenase[EC1.14.14.80]
K07425	CYP4Along-chainfattyacidomega-monooxygenase[EC1.14.14.80]
K15401	CYP86A1long-chainfattyacidomega-monooxygenase[EC1.14.14.80]
K20495	CYP704B1long-chainfattyacidomega-monooxygenase[EC1.14.14.80]
K22887	CYP52M1long-chainfattyacidomega-monooxygenase[EC1.14.14.80]
K00529	hcaD3-phenylpropionate/trans-cinnamatedioxygenaseferredoxinreductasecomponent[EC1.18.1.3]
K00530	nroRrubredoxin---NAD(P)+reductase[EC1.18.1.4]
K05297	rubBalkTrubredoxin---NAD+reductase[EC1.18.1.1]
K21738	alkTrubredoxin---NAD+reductase[EC1.18.1.1]
K22567	nroRrubredoxin---NAD+reductase[EC1.18.1.1]
K14338	cypDECYP102ACYP505cytochromeP450/NADPH-cytochromeP450reductase[EC1.14.14.11.6.2.4]
K15398	CYP86A4Sfattyacidomega-hydroxylase[EC1.14.-.-]
